ORDER_DATE,ORDER_QTY,ORDER_TOTAL
01-JAN-20,11,528.25
02-JAN-20,25,1079.15
03-JAN-20,10,340.26
04-JAN-20,7,289.64
05-JAN-20,16,723.88
06-JAN-20,17,643.59
07-JAN-20,18,805.46
08-JAN-20,16,526.74
09-JAN-20,16,482.18
10-JAN-20,14,422.32
11-JAN-20,5,215.13
12-JAN-20,10,248.93
13-JAN-20,15,466.25
14-JAN-20,15,490.07
15-JAN-20,19,645.17
16-JAN-20,11,377.09
17-JAN-20,14,554.7
18-JAN-20,14,466.07
19-JAN-20,15,572.6
20-JAN-20,21,686.9
21-JAN-20,11,386.48
22-JAN-20,15,471.95
23-JAN-20,9,317.86
24-JAN-20,6,128.11
25-JAN-20,8,237.92
26-JAN-20,12,582.04
27-JAN-20,16,397.71
28-JAN-20,18,520.67
29-JAN-20,11,507.34
30-JAN-20,22,854
31-JAN-20,19,719.2
01-FEB-20,10,411.22
02-FEB-20,4,137.88
03-FEB-20,21,819.7
04-FEB-20,8,349.17
05-FEB-20,12,380.32
06-FEB-20,7,181.64
07-FEB-20,15,473.95
08-FEB-20,8,419.8
09-FEB-20,15,612.34
10-FEB-20,12,506.54
11-FEB-20,6,251.04
12-FEB-20,13,551.22
13-FEB-20,15,577.67
14-FEB-20,10,357.6
15-FEB-20,8,299.26
16-FEB-20,8,229.38
17-FEB-20,13,706.11
18-FEB-20,14,508.49
19-FEB-20,10,329.89
20-FEB-20,13,405.61
21-FEB-20,16,610.13
22-FEB-20,2,71.06
23-FEB-20,9,518.69
24-FEB-20,10,470.26
25-FEB-20,14,580.83
26-FEB-20,11,437.77
27-FEB-20,15,501.5
28-FEB-20,15,484.32
29-FEB-20,4,161.2
01-MAR-20,13,427.65
02-MAR-20,9,264.85
03-MAR-20,13,395.6
04-MAR-20,15,597.28
05-MAR-20,10,343.32
06-MAR-20,5,144.04
07-MAR-20,1,32.21
08-MAR-20,8,346.17
09-MAR-20,15,473.77
10-MAR-20,7,174.96
11-MAR-20,12,451.67
12-MAR-20,4,160.51
13-MAR-20,7,149.82
14-MAR-20,3,71.01
15-MAR-20,2,39.81
16-MAR-20,2,67.98
17-MAR-20,1,23.62
18-MAR-20,5,127.69
19-MAR-20,5,135.29
20-MAR-20,5,158.01
21-MAR-20,2,46.63
22-MAR-20,3,122.34
23-MAR-20,8,269.95
24-MAR-20,2,41.47
25-MAR-20,4,143.29
26-MAR-20,5,278.6
27-MAR-20,3,87.87
28-MAR-20,8,199.35
29-MAR-20,4,145.76
30-MAR-20,3,56.29
31-MAR-20,7,311.93
1-Apr-20,0,0
02-APR-20,3,81.92
03-APR-20,18,632.04
04-APR-20,13,403.52
05-APR-20,8,320.04
06-APR-20,8,344.21
07-APR-20,8,274.05
08-APR-20,5,153.75
09-APR-20,4,121.68
10-APR-20,5,105.92
11-APR-20,2,34.21
12-APR-20,2,52.09
13-APR-20,7,218.72
14-APR-20,8,300
15-APR-20,10,418.41
16-APR-20,8,391.05
17-APR-20,12,369.59
18-APR-20,6,192.13
19-APR-20,8,280.38
20-APR-20,7,279.31
21-APR-20,4,207.27
22-APR-20,9,421.64
23-APR-20,11,627.92
24-APR-20,4,210.76
25-APR-20,7,216.18
26-APR-20,8,300.9
27-APR-20,16,707.58
28-APR-20,5,208.05
29-APR-20,11,542.13
30-APR-20,6,297.99
01-MAY-20,5,131.76
02-MAY-20,3,62.76
03-MAY-20,3,127.19
04-MAY-20,9,323.09
05-MAY-20,101,3402.71
06-MAY-20,27,937.08
07-MAY-20,13,588.97
08-MAY-20,12,407.44
09-MAY-20,1,18.25
